"Step","CUDA_BATCHED_HIDROGEN - Energy","CUDA_BATCHED_HIDROGEN - Energy__MIN","CUDA_BATCHED_HIDROGEN - Energy__MAX"
"227","-0.49997755885124207","-0.49997755885124207","-0.49997755885124207"
"228","-0.49996984004974365","-0.49996984004974365","-0.49996984004974365"
"229","-0.49982747435569763","-0.49982747435569763","-0.49982747435569763"
"230","-0.4997018277645111","-0.4997018277645111","-0.4997018277645111"
"231","-0.49997779726982117","-0.49997779726982117","-0.49997779726982117"
"232","-0.49997732043266296","-0.49997732043266296","-0.49997732043266296"
"233","-0.4999770224094391","-0.4999770224094391","-0.4999770224094391"
"234","-0.5004727244377136","-0.5004727244377136","-0.5004727244377136"
"235","-0.4998012185096741","-0.4998012185096741","-0.4998012185096741"
"236","-0.49985620379447937","-0.49985620379447937","-0.49985620379447937"
"237","-0.500044047832489","-0.500044047832489","-0.500044047832489"
"238","-0.5000929832458496","-0.5000929832458496","-0.5000929832458496"
"239","-0.4997904598712921","-0.4997904598712921","-0.4997904598712921"
"240","-0.5003860592842102","-0.5003860592842102","-0.5003860592842102"
"241","-0.49990031123161316","-0.49990031123161316","-0.49990031123161316"
"242","-0.49992042779922485","-0.49992042779922485","-0.49992042779922485"
"243","-0.500015139579773","-0.500015139579773","-0.500015139579773"
"244","-0.49996188282966614","-0.49996188282966614","-0.49996188282966614"
"245","-0.4999937117099762","-0.4999937117099762","-0.4999937117099762"
"246","-0.49982568621635437","-0.49982568621635437","-0.49982568621635437"
"247","-0.4998803734779358","-0.4998803734779358","-0.4998803734779358"
"248","-0.5001370310783386","-0.5001370310783386","-0.5001370310783386"
"249","-0.49979403614997864","-0.49979403614997864","-0.49979403614997864"
"250","-0.5001672506332397","-0.5001672506332397","-0.5001672506332397"
"251","-0.4998965859413147","-0.4998965859413147","-0.4998965859413147"
"252","-0.4999622404575348","-0.4999622404575348","-0.4999622404575348"
"253","-0.4999755322933197","-0.4999755322933197","-0.4999755322933197"
"254","-0.5002349019050598","-0.5002349019050598","-0.5002349019050598"
"255","-0.5000336170196533","-0.5000336170196533","-0.5000336170196533"
"256","-0.5000921487808228","-0.5000921487808228","-0.5000921487808228"
"257","-0.4998931288719177","-0.4998931288719177","-0.4998931288719177"
"258","-0.499908447265625","-0.499908447265625","-0.499908447265625"
"259","-0.4998224675655365","-0.4998224675655365","-0.4998224675655365"
"260","-0.4997982382774353","-0.4997982382774353","-0.4997982382774353"
"261","-0.499929815530777","-0.499929815530777","-0.499929815530777"
"262","-0.4999236464500427","-0.4999236464500427","-0.4999236464500427"
"263","-0.49999597668647766","-0.49999597668647766","-0.49999597668647766"
"264","-0.499877393245697","-0.499877393245697","-0.499877393245697"
"265","-0.49994757771492004","-0.49994757771492004","-0.49994757771492004"
"266","-0.49991437792778015","-0.49991437792778015","-0.49991437792778015"
"267","-0.5001033544540405","-0.5001033544540405","-0.5001033544540405"
"268","-0.49985548853874207","-0.49985548853874207","-0.49985548853874207"
"269","-0.5000251531600952","-0.5000251531600952","-0.5000251531600952"
"270","-0.5000813603401184","-0.5000813603401184","-0.5000813603401184"
"271","-0.5002915263175964","-0.5002915263175964","-0.5002915263175964"
"272","-0.4999076724052429","-0.4999076724052429","-0.4999076724052429"
"273","-0.4998495578765869","-0.4998495578765869","-0.4998495578765869"
"274","-0.49987319111824036","-0.49987319111824036","-0.49987319111824036"
"275","-0.4999925196170807","-0.4999925196170807","-0.4999925196170807"
"276","-0.49987685680389404","-0.49987685680389404","-0.49987685680389404"
"277","-0.4998699724674225","-0.4998699724674225","-0.4998699724674225"
"278","-0.4998166561126709","-0.4998166561126709","-0.4998166561126709"
"279","-0.500097393989563","-0.500097393989563","-0.500097393989563"
"280","-0.5000200271606445","-0.5000200271606445","-0.5000200271606445"
"281","-0.4999051094055176","-0.4999051094055176","-0.4999051094055176"
"282","-0.49994561076164246","-0.49994561076164246","-0.49994561076164246"
"283","-0.5000623464584351","-0.5000623464584351","-0.5000623464584351"
"284","-0.4998100697994232","-0.4998100697994232","-0.4998100697994232"
"285","-0.4999847412109375","-0.4999847412109375","-0.4999847412109375"
"286","-0.49997007846832275","-0.49997007846832275","-0.49997007846832275"
"287","-0.4998403489589691","-0.4998403489589691","-0.4998403489589691"
"288","-0.4998331665992737","-0.4998331665992737","-0.4998331665992737"
"289","-0.5000140070915222","-0.5000140070915222","-0.5000140070915222"
"290","-0.5004817247390747","-0.5004817247390747","-0.5004817247390747"
"291","-0.5000370740890503","-0.5000370740890503","-0.5000370740890503"
"292","-0.4999205470085144","-0.4999205470085144","-0.4999205470085144"
"293","-0.4999879002571106","-0.4999879002571106","-0.4999879002571106"
"294","-0.5000365376472473","-0.5000365376472473","-0.5000365376472473"
"295","-0.5002912878990173","-0.5002912878990173","-0.5002912878990173"
"296","-0.49996668100357056","-0.49996668100357056","-0.49996668100357056"
"297","-0.4998997747898102","-0.4998997747898102","-0.4998997747898102"
"298","-0.4999755322933197","-0.4999755322933197","-0.4999755322933197"
"299","-0.5000050067901611","-0.5000050067901611","-0.5000050067901611"
"300","-0.500063419342041","-0.500063419342041","-0.500063419342041"
"301","-0.5000324249267578","-0.5000324249267578","-0.5000324249267578"
"302","-0.5000677108764648","-0.5000677108764648","-0.5000677108764648"
"303","-0.5000296831130981","-0.5000296831130981","-0.5000296831130981"
"304","-0.499967098236084","-0.499967098236084","-0.499967098236084"
"305","-0.500048816204071","-0.500048816204071","-0.500048816204071"
"306","-0.49993640184402466","-0.49993640184402466","-0.49993640184402466"
"307","-0.4998726546764374","-0.4998726546764374","-0.4998726546764374"
"308","-0.4998514950275421","-0.4998514950275421","-0.4998514950275421"
"309","-0.5000584721565247","-0.5000584721565247","-0.5000584721565247"
"310","-0.5002375841140747","-0.5002375841140747","-0.5002375841140747"
"311","-0.4999499022960663","-0.4999499022960663","-0.4999499022960663"
"312","-0.4999484121799469","-0.4999484121799469","-0.4999484121799469"
"313","-0.49988433718681335","-0.49988433718681335","-0.49988433718681335"
"314","-0.49993765354156494","-0.49993765354156494","-0.49993765354156494"
"315","-0.5001307129859924","-0.5001307129859924","-0.5001307129859924"
"316","-0.49995848536491394","-0.49995848536491394","-0.49995848536491394"
"317","-0.4998977482318878","-0.4998977482318878","-0.4998977482318878"
